order,family,scientific_name,common_name,no_detections,no_sites,Lauren's article
Passeriformes,Regulidae (Kinglets),Regulus satrapa,Golden-crowned Kinglet,84683,61,
Passeriformes,Regulidae (Kinglets),Corthylio calendula,Ruby-crowned Kinglet,13918,59,
Passeriformes,Sittidae (Nuthatches),Sitta canadensis,Red-breasted Nuthatch,23207,61,
Passeriformes,Troglodytidae (Wrens),Troglodytes pacificus,Pacific Wren,60989,59,
Passeriformes,Turdidae (Thrushes and Allies),Catharus ustulatus,Swainson's Thrush,327431,62,
Passeriformes,Turdidae (Thrushes and Allies),Ixoreus naevius,Varied Thrush,32529,61,
Passeriformes,Turdidae (Thrushes and Allies),Catharus guttatus,Hermit Thrush,52026,61,
Passeriformes,Turdidae (Thrushes and Allies),Turdus migratorius,American Robin,37737,62,
Passeriformes,Turdidae (Thrushes and Allies),Myadestes townsendi,Townsend's Solitaire,787,55,
Passeriformes,Turdidae (Thrushes and Allies),Sialia currucoides,Mountain Bluebird,1238,54,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax difficilis,Western Flycatcher,12474,62,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax hammondii,Hammond's Flycatcher,141949,62,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax minimus,Least Flycatcher,44654,58,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax oberholseri,Dusky Flycatcher,9356,58,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus cooperi,Olive-sided Flycatcher,17061,61,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax flaviventris,Yellow-bellied Flycatcher,5815,61,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax alnorum,Alder Flycatcher,21412,49,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus tyrannus,Eastern Kingbird,48,26,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Contopus sordidulus,Western Wood-Pewee,10992,50,
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo gilvus,Warbling Vireo,87002,62,
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo cassinii,Cassin's Vireo,6188,55,
Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo olivaceus,Red-eyed Vireo,600,35,
Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Botaurus lentiginosus,American Bittern,359,34,
Piciformes,Picidae (Woodpeckers),Sphyrapicus varius,Yellow-bellied Sapsucker,5261,57,
Piciformes,Picidae (Woodpeckers),Sphyrapicus nuchalis,Red-naped Sapsucker,5182,57,
Piciformes,Picidae (Woodpeckers),Picoides arcticus,Black-backed Woodpecker,2928,60,
Piciformes,Picidae (Woodpeckers),Picoides dorsalis,American Three-toed Woodpecker,6417,62,
Piciformes,Picidae (Woodpeckers),Dryobates villosus,Hairy Woodpecker,1589,54,
Piciformes,Picidae (Woodpeckers),Dryocopus pileatus,Pileated Woodpecker,1910,56,
Piciformes,Picidae (Woodpeckers),Dryobates pubescens,Downy Woodpecker,331,49,
Piciformes,Picidae (Woodpeckers),Colaptes auratus,Northern Flicker,950,43,
Podicipediformes,Podicipedidae (Grebes),Podiceps grisegena,Red-necked Grebe,26,8,
Strigiformes,Strigidae (Owls),Strix varia,Barred Owl,498,43,
Strigiformes,Strigidae (Owls),Bubo virginianus,Great Horned Owl,4902,57,
Strigiformes,Strigidae (Owls),Asio otus,Long-eared Owl,294,40,
Strigiformes,Strigidae (Owls),Strix nebulosa,Great Gray Owl,419,36,
Strigiformes,Strigidae (Owls),Aegolius acadicus,Northern Saw-whet Owl,2223,54,
Strigiformes,Strigidae (Owls),Glaucidium gnoma,Northern Pygmy-Owl,876,48,
Strigiformes,Strigidae (Owls),Aegolius funereus,Boreal Owl,5826,44,
